"","SubID","PatternType","RT","Acc","Speed","Gender","Coh","group"
"287",1043,"radial",5.1547,TRUE,"2deg/s","Male",0.3,"child"
"288",1043,"linear",3.289,TRUE,"2deg/s","Male",0.6,"child"
"289",1043,"radial",4.3872,TRUE,"2deg/s","Male",0.15,"child"
"290",1043,"linear",3.1381,TRUE,"8deg/s","Male",0.6,"child"
"291",1043,"linear",3.1028,TRUE,"2deg/s","Male",0.6,"child"
"292",1043,"radial",1.5387,TRUE,"8deg/s","Male",0.6,"child"
"293",1043,"radial",1.456,TRUE,"2deg/s","Male",0.3,"child"
"294",1043,"radial",2.9191,FALSE,"2deg/s","Male",0.3,"child"
"295",1043,"radial",1.3014,TRUE,"2deg/s","Male",0.45,"child"
"296",1043,"linear",3.3737,TRUE,"8deg/s","Male",0.3,"child"
"297",1043,"linear",7.6732,TRUE,"2deg/s","Male",0.3,"child"
"298",1043,"radial",1.8865,TRUE,"8deg/s","Male",0.45,"child"
"299",1043,"radial",1.8685,TRUE,"8deg/s","Male",0.45,"child"
"300",1043,"radial",2.3187,TRUE,"2deg/s","Male",0.15,"child"
"301",1043,"radial",2.2687,FALSE,"2deg/s","Male",0.15,"child"
"302",1043,"radial",1.4683,TRUE,"2deg/s","Male",0.3,"child"
"303",1043,"radial",1.8348,TRUE,"2deg/s","Male",0.45,"child"
"304",1043,"linear",NA,FALSE,"2deg/s","Male",0.6,"child"
"305",1043,"linear",5.0212,FALSE,"2deg/s","Male",0.45,"child"
"306",1043,"linear",2.5024,TRUE,"2deg/s","Male",0.3,"child"
"307",1043,"linear",5.4549,TRUE,"8deg/s","Male",0.45,"child"
"308",1043,"linear",2.3355,TRUE,"2deg/s","Male",0.15,"child"
"309",1043,"radial",3.1859,TRUE,"8deg/s","Male",0.6,"child"
"310",1043,"linear",3.1035,FALSE,"2deg/s","Male",0.15,"child"
"311",1043,"linear",2.919,TRUE,"8deg/s","Male",0.45,"child"
"312",1043,"radial",1.4013,TRUE,"2deg/s","Male",0.6,"child"
"313",1043,"linear",2.5544,TRUE,"8deg/s","Male",0.3,"child"
"314",1043,"linear",5.6548,TRUE,"2deg/s","Male",0.6,"child"
"315",1043,"radial",7.6579,TRUE,"8deg/s","Male",0.3,"child"
"316",1043,"linear",NA,FALSE,"2deg/s","Male",0.15,"child"
"317",1043,"linear",4.1702,TRUE,"2deg/s","Male",0.45,"child"
"318",1043,"linear",9.6582,FALSE,"8deg/s","Male",0.15,"child"
"319",1043,"linear",1.2848,TRUE,"8deg/s","Male",0.45,"child"
"320",1043,"linear",6.7557,FALSE,"2deg/s","Male",0.15,"child"
"321",1055,"radial",3.3527,FALSE,"2deg/s","Female",0.2,"child"
"322",1055,"radial",1.6182,TRUE,"8deg/s","Female",0.4,"child"
"323",1055,"radial",1.2844,TRUE,"2deg/s","Female",0.8,"child"
"324",1055,"radial",1.6346,TRUE,"8deg/s","Female",0.6,"child"
"325",1055,"linear",5.1376,FALSE,"8deg/s","Female",0.2,"child"
"326",1055,"radial",1.7849,TRUE,"8deg/s","Female",0.8,"child"
"327",1055,"linear",1.3197,TRUE,"8deg/s","Female",0.6,"child"
"328",1055,"radial",1.302,TRUE,"2deg/s","Female",0.4,"child"
"329",1055,"radial",6.2054,FALSE,"8deg/s","Female",0.2,"child"
"330",1055,"radial",2.3902,TRUE,"2deg/s","Female",0.8,"child"
"331",1055,"radial",1.7357,TRUE,"2deg/s","Female",0.6,"child"
"332",1055,"radial",2.9436,TRUE,"2deg/s","Female",0.4,"child"
"333",1055,"radial",1.201,TRUE,"8deg/s","Female",0.8,"child"
"334",1055,"linear",4.5892,FALSE,"2deg/s","Female",0.2,"child"
"335",1055,"linear",3.5032,TRUE,"8deg/s","Female",0.8,"child"
"336",1055,"radial",1.2553,TRUE,"8deg/s","Female",0.2,"child"
"337",1055,"linear",2.2352,TRUE,"8deg/s","Female",0.8,"child"
"338",1055,"linear",2.9027,TRUE,"8deg/s","Female",0.2,"child"
"339",1055,"radial",1.3841,TRUE,"2deg/s","Female",0.4,"child"
"340",1055,"radial",1.7024,TRUE,"8deg/s","Female",0.4,"child"
"341",1055,"radial",2.0538,TRUE,"2deg/s","Female",0.4,"child"
"342",1055,"linear",1.752,TRUE,"8deg/s","Female",0.6,"child"
"343",1055,"linear",4.6711,TRUE,"8deg/s","Female",0.8,"child"
"344",1055,"radial",1.6023,TRUE,"8deg/s","Female",0.4,"child"
"345",1055,"radial",1.5682,TRUE,"8deg/s","Female",0.8,"child"
"346",1055,"radial",1.4678,TRUE,"8deg/s","Female",0.2,"child"
"347",1055,"linear",2.0854,TRUE,"8deg/s","Female",0.6,"child"
