ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears,Age,SubID,Speed
1,Oct-14,4,2,radial,0.2,0,L,1.0177,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,2,linear,0.2,0,L,0.96766,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,3,radial,0,0.05,R,2.2352,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,3,radial,0.1,0,L,1.8521,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,4,linear,0.2,0,L,0.86751,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,4,radial,0,0.15,R,2.4067,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,5,linear,0.05,0,L,1.0846,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,5,linear,0,0.1,R,3.4863,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,6,radial,0,0.2,L,1.4241,FALSE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,6,radial,0,0.2,R,0.86781,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,7,radial,0,0.15,R,1.4854,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,7,radial,0.05,0,L,1.2345,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,8,linear,0,0.2,R,1.1346,TRUE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,8,linear,0.15,0,L,0.9343,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,9,linear,0,0.15,L,1.3343,FALSE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,9,radial,0,0.1,L,1.1847,FALSE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,10,linear,0,0.1,R,2.1351,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,10,radial,0,0.05,L,2.7534,FALSE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,11,radial,0.05,0,L,1.8351,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,11,radial,0.2,0,L,1.0719,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,12,linear,0,0.05,R,1.9683,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,12,linear,0.05,0,L,1.1105,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
