ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears
1,Oct-2014,5,4,radial,0.1,0,L,0.95109,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,5,radial,0,0.2,R,1.785,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,5,linear,0.15,0,L,0.98398,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,6,linear,0.05,0,L,2.9196,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,6,radial,0,0.15,L,1.9183,0,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,7,linear,0,0.2,R,0.95095,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,7,radial,0,0.2,R,1.0847,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,8,radial,0,0.15,R,0.90103,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,8,radial,0.05,0,R,1.3514,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,9,radial,0.05,0,R,2.1556,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,9,linear,0.05,0,L,0.834,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,10,radial,0.15,0,L,1.0681,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,10,linear,0,0.15,R,1.8683,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,11,radial,0,0.1,R,1.4945,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,11,linear,0,0.2,R,1.0009,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,12,radial,0.1,0,R,2.1351,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,12,radial,0,0.1,R,1.4177,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,13,linear,0,0.15,R,1.4231,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,13,radial,0,0.05,L,2.7525,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,14,linear,0,0.1,R,1.1176,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,14,linear,0.1,0,R,2.0019,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,15,linear,0,0.05,R,3.737,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
