"","ParticipantID","SessionDate","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Coh","Run","DegPSec","session.id","session.name","participant.gender","participant.race","participant.ethnicity","participant.language","participant.setting","participant.state","task.ident","task2.ident","task2.description","group.ident","AgeYears"
"61",1,2014-10-13,1,9,"radial",0,0.15,"L",1.402,"FALSE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"62",1,2014-10-13,1,13,"radial",0.15,0,"L",1.1919,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"63",1,2014-10-13,2,10,"radial",0,0.15,"R",0.93426,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"64",1,2014-10-13,2,12,"radial",0.15,0,"L",0.96759,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"65",1,2014-10-13,3,4,"radial",0,0.15,"R",1.7348,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"66",1,2014-10-13,3,11,"radial",0.15,0,"L",1.3346,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"67",1,2014-10-13,4,7,"radial",0,0.15,"R",1.4854,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"68",1,2014-10-13,4,13,"radial",0.15,0,"L",1.9038,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"69",1,2014-10-13,5,8,"radial",0,0.15,"R",0.90103,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"70",1,2014-10-13,5,10,"radial",0.15,0,"L",1.0681,"TRUE",0.15,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"71",1,2014-10-13,1,3,"radial",0.2,0,"L",1.0013,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"72",1,2014-10-13,1,7,"radial",0,0.2,"R",1.0174,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"73",1,2014-10-13,2,1,"radial",0.2,0,"L",1.2012,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"74",1,2014-10-13,2,7,"radial",0,0.2,"R",0.95096,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"75",1,2014-10-13,3,1,"radial",0.2,0,"L",0.98428,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"76",1,2014-10-13,3,3,"radial",0,0.2,"R",0.83418,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"77",1,2014-10-13,4,2,"radial",0.2,0,"L",1.0177,"TRUE",0.2,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
